Dump Name,Address,Material,Price_10W,Price_SD,Price_Per_CY,Pricing_Type,Latitude,Longitude
Concrete Recycling Inc.,"620 S Delong St, Salt Lake City, UT",Concrete (Clean),50.0,80.0,0.0,Per Load,40.7545,-111.9534
Concrete Recycling Inc.,"620 S Delong St, Salt Lake City, UT",Concrete (Dirty/Reinforced),80.0,110.0,0.0,Per Load,40.7545,-111.9534
Salt Lake Valley Landfill,"6030 W California Ave, Salt Lake City, UT 84104",Clean Fill,0.0,0.0,0.0,Per CY,40.745,-112.039
Salt Lake Valley Landfill,"6030 W California Ave, Salt Lake City, UT 84104",Topsoil (Unscreened),0.0,0.0,22.5,Per CY,40.745,-112.039
Salt Lake Valley Landfill,"6030 W California Ave, Salt Lake City, UT 84104",Concrete (Clean),0.0,0.0,22.5,Per CY,40.745,-112.039
Salt Lake Valley Landfill,"6030 W California Ave, Salt Lake City, UT 84104",Asphalt (Chunked),0.0,0.0,22.5,Per CY,40.745,-112.039
Salt Lake Valley Landfill,"6030 W California Ave, Salt Lake City, UT 84104",Concrete (Dirty/Reinforced),0.0,0.0,71.25,Per CY,40.745,-112.039
Salt Lake Valley Landfill,"6030 W California Ave, Salt Lake City, UT 84104",Construction Waste,0.0,0.0,50.0,Per CY,40.745,-112.039
Bland Recycling,"6451 W 2100 S, West Valley City, UT",Asphalt (Chunked),80.0,110.0,0.0,Per Load,40.7252,-112.0425
Bland Recycling,"6451 W 2100 S, West Valley City, UT",Concrete (Clean),30.0,30.0,0.0,Per Load,40.7252,-112.0425
Bland Recycling,"6451 W 2100 S, West Valley City, UT",Concrete (Dirty/Reinforced),80.0,110.0,0.0,Per Load,40.7252,-112.0425
