Pit Name,Address,Material,Price_Per_Ton,Latitude,Longitude
Lakeview Rock Products,"2380 Beck St, SLC",A1a,8.0,40.822108,-111.915022
Grey Cliffs Rock ,"648 UT-198, Santaquin",A1a,6.0,39.986234,-111.76045
Maverick Rock Products,"491 US-6, Genola",A1a,9.75,39.980469,-111.832961
Staker Parson (Beck Street Pit),"1730 Beck St, SLC",A1a,9.1,40.806128,-111.915737
Utah Sand and Gravel,"1264 Beck St, SLC",A1a,9.0,40.797036,-111.906146
Staker Parson (Beef Hollow Pit),"2550 Porter Rockwell Rd, Bluffdale",A1a,8.95,40.474308,-111.978574
Staker Parson (Lehi West Pit),"11700 N Frontage Rd, Lehi",A1a,9.8,40.451429,-111.911819
Staker Parson (Keigley Pit),"12370 S West Mt Rd, Payson",A1a,9.2,40.011948,-111.801505
Kilgore (West Valley Pit),"7057 W 2100 S, Salt Lake City",A1a,8.0,40.725145,-112.060586
Lakeview Rock Products,"2380 Beck St, SLC",A1b,9.0,40.822108,-111.915022
Maverick Rock Products,"491 US-6, Genola",A1b,7.75,39.980469,-111.832961
Geneva Rock (Hansen Pit),"15547 Minuteman Dr, Draper",A1b,10.85,40.467977,-111.908433
Geneva Rock (Pelican Point Pit),"1565 N Redwood Road, Saratoga Springs",A1b,7.75,40.261959,-111.868774
Staker Parson (Beef Hollow Pit),"2550 Porter Rockwell Rd, Bluffdale",A1b,6.75,40.474308,-111.978574
Staker Parson (Lehi West Pit),"11700 N Frontage Rd, Lehi",A1b,8.05,40.451429,-111.911819
Staker Parson (Keigley Pit),"12370 S West Mt Rd, Payson",A1b,6.95,40.011948,-111.801505
Kilgore (Parley's Pit),Parleys Canyon (Approx),A1b,4.25,40.715,-111.8
Maverick Rock Products,"491 US-6, Genola",Pea Gravel,9.95,39.980469,-111.832961
Grey Cliffs Rock ,"648 UT-198, Santaquin","3/4"" Gravel",13.0,39.986234,-111.76045
Maverick Rock Products,"491 US-6, Genola","3/4"" Gravel",17.45,39.980469,-111.832961
Geneva Rock (Hansen Pit),"15547 Minuteman Dr, Draper","3/4"" Gravel",20.35,40.467977,-111.908433
Geneva Rock (Pelican Point Pit),"1565 N Redwood Road, Saratoga Springs","3/4"" Gravel",17.2,40.261959,-111.868774
Staker Parson (Beef Hollow Pit),"2550 Porter Rockwell Rd, Bluffdale","3/4"" Gravel",20.75,40.474308,-111.978574
Staker Parson (Lehi West Pit),"11700 N Frontage Rd, Lehi","3/4"" Gravel",20.5,40.451429,-111.911819
Staker Parson (Keigley Pit),"12370 S West Mt Rd, Payson","3/4"" Gravel",18.95,40.011948,-111.801505
Kilgore (Parley's Pit),Parleys Canyon (Approx),"3/4"" Gravel",18.5,40.715,-111.8
Kilgore (West Valley Pit),"7057 W 2100 S, Salt Lake City","3/4"" Gravel",19.25,40.725145,-112.060586
Lakeview Rock Products,"2380 Beck St, SLC","1"" Gravel",18.0,40.822108,-111.915022
Grey Cliffs Rock ,"648 UT-198, Santaquin","1"" Gravel",13.0,39.986234,-111.76045
Maverick Rock Products,"491 US-6, Genola","1"" Gravel",17.45,39.980469,-111.832961
Staker Parson (Beck Street Pit),"1730 Beck St, SLC","1"" Gravel",21.55,40.806128,-111.915737
Utah Sand and Gravel,"1264 Beck St, SLC","1"" Gravel",20.95,40.797036,-111.906146
Staker Parson (Beef Hollow Pit),"2550 Porter Rockwell Rd, Bluffdale","1"" Gravel",20.75,40.474308,-111.978574
Staker Parson (Point East Pit),"15589 Minuteman Dr, Draper","1"" Gravel",20.15,40.462556,-111.912076
Staker Parson (Lehi West Pit),"11700 N Frontage Rd, Lehi","1"" Gravel",20.5,40.451429,-111.911819
Staker Parson (Keigley Pit),"12370 S West Mt Rd, Payson","1"" Gravel",18.95,40.011948,-111.801505
Kilgore (Parley's Pit),Parleys Canyon (Approx),"1"" Gravel",18.5,40.715,-111.8
Maverick Rock Products,"491 US-6, Genola","1.5"" Gravel",18.95,39.980469,-111.832961
Geneva Rock (Hansen Pit),"15547 Minuteman Dr, Draper","1.5"" Gravel",21.35,40.467977,-111.908433
Geneva Rock (Pelican Point Pit),"1565 N Redwood Road, Saratoga Springs","1.5"" Gravel",17.2,40.261959,-111.868774
Staker Parson (Beck Street Pit),"1730 Beck St, SLC","1.5"" Gravel",21.55,40.806128,-111.915737
Utah Sand and Gravel,"1264 Beck St, SLC","1.5"" Gravel",19.9,40.797036,-111.906146
Staker Parson (Beef Hollow Pit),"2550 Porter Rockwell Rd, Bluffdale","1.5"" Gravel",20.75,40.474308,-111.978574
Staker Parson (Lehi West Pit),"11700 N Frontage Rd, Lehi","1.5"" Gravel",20.5,40.451429,-111.911819
Staker Parson (Keigley Pit),"12370 S West Mt Rd, Payson","1.5"" Gravel",18.95,40.011948,-111.801505
Lakeview Rock Products,"2380 Beck St, SLC","2"" Gravel",20.0,40.822108,-111.915022
Maverick Rock Products,"491 US-6, Genola","2"" Gravel",20.95,39.980469,-111.832961
Lakeview Rock Products,"2380 Beck St, SLC","2-4"" Track-Out Cobble",28.0,40.822108,-111.915022
